Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-frg1,Session ID,Event Type,Reason,Block Number,Phase Name,Rule File,Episode Number,Move Number,Actor,Position ID,Stimulus ID,Reward,Repeat,Human Score,Agent Score,Human Total Score,Agent Total Score,Rewards Remaining,Completed Episodes
14,1784148123613,15/07/2026 20:42:03,1784148123523,-5,15/07/2026 15:42:03,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,6,agent,17,3340,,1,3,4,3,4,3,
15,1784148127457,15/07/2026 20:42:07,1784148127370,-5,15/07/2026 15:42:07,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,6,human,16,5531,,1,3,4,3,4,3,
16,1784148128165,15/07/2026 20:42:08,1784148128074,-5,15/07/2026 15:42:08,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,6,agent,15,4990,1,,3,5,3,5,2,
17,1784148130463,15/07/2026 20:42:10,1784148130369,-5,15/07/2026 15:42:10,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,7,human,10,3524,,,3,5,3,5,2,
18,1784148131285,15/07/2026 20:42:11,1784148131074,-5,15/07/2026 15:42:11,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,7,agent,6,372,,1,3,5,3,5,2,
19,1784148137707,15/07/2026 20:42:17,1784148137604,-5,15/07/2026 15:42:17,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,1,"Category 3, type 1",rules_category1.json,1,8,human,2,2103,1,,4,5,4,5,1,
20,1784148138415,15/07/2026 20:42:18,1784148138310,-5,15/07/2026 15:42:18,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,1,"Category 3, type 1",rules_category1.json,1,8,agent,13,6480,1,,4,6,4,6,0,
21,1784148138535,15/07/2026 20:42:18,1784148138316,-5,15/07/2026 15:42:18,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,episode_end,rewards_exhausted,1,"Category 3, type 1",rules_category1.json,1,8,,,,,,4,6,4,6,0,
22,1784148188934,15/07/2026 20:43:08,1784148188853,-5,15/07/2026 15:43:08,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,1,human,1,3729,1,,1,0,5,6,9,
23,1784148189646,15/07/2026 20:43:09,1784148189559,-5,15/07/2026 15:43:09,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,1,agent,15,398,1,,1,1,5,7,8,
24,1784148191280,15/07/2026 20:43:11,1784148191187,-5,15/07/2026 15:43:11,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,2,human,10,3835,1,,2,1,6,7,7,
25,1784148191980,15/07/2026 20:43:11,1784148191892,-5,15/07/2026 15:43:11,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,2,agent,19,233,1,,2,2,6,8,6,
26,1784148193064,15/07/2026 20:43:13,1784148192969,-5,15/07/2026 15:43:12,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,2,"Category 3, type 2",rules_category1.json,2,3,human,13,4405,1,,3,2,7,8,5,
27,1784148193762,15/07/2026 20:43:13,1784148193673,-5,15/07/2026 15:43:13,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1285x754,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,2,"Category 3, type 2",rules_category1.json,2,3,agent,15,398,,1,3,2,7,8,5,
