Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-frg1,Session ID,Event Type,Reason,Block Number,Phase Name,Rule File,Episode Number,Move Number,Actor,Position ID,Stimulus ID,Reward,Repeat,Human Score,Agent Score,Human Total Score,Agent Total Score,Rewards Remaining,Completed Episodes
268,1784148849738,15/07/2026 20:54:09,1784148849526,-5,15/07/2026 15:54:09,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,episode_end,move_limit,13,"High contrast, type 3",rules_contrast2.json,13,8,,,,,,4,2,60,57,4,
269,1784148854335,15/07/2026 20:54:14,1784148854252,-5,15/07/2026 15:54:14,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,1,human,3,233,,,0,0,60,57,10,
270,1784148855057,15/07/2026 20:54:15,1784148854958,-5,15/07/2026 15:54:14,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,1,agent,1,2103,1,,0,1,60,58,9,
271,1784148858901,15/07/2026 20:54:18,1784148858818,-5,15/07/2026 15:54:18,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,2,human,2,485,,,0,1,60,58,9,
272,1784148859623,15/07/2026 20:54:19,1784148859523,-5,15/07/2026 15:54:19,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,2,agent,0,3524,1,,0,2,60,59,8,
273,1784148865975,15/07/2026 20:54:25,1784148865885,-5,15/07/2026 15:54:25,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,3,human,16,4053,1,,1,2,61,59,7,
274,1784148866684,15/07/2026 20:54:26,1784148866588,-5,15/07/2026 15:54:26,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,3,agent,17,2928,1,,1,3,61,60,6,
275,1784148868667,15/07/2026 20:54:28,1784148868585,-5,15/07/2026 15:54:28,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,4,human,12,93,,,1,3,61,60,6,
276,1784148869383,15/07/2026 20:54:29,1784148869289,-5,15/07/2026 15:54:29,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,4,agent,0,3524,,1,1,3,61,60,6,
277,1784148871873,15/07/2026 20:54:31,1784148871784,-5,15/07/2026 15:54:31,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,5,human,18,5531,1,,2,3,62,60,5,
278,1784148872577,15/07/2026 20:54:32,1784148872487,-5,15/07/2026 15:54:32,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,5,agent,1,2103,,1,2,3,62,60,5,
279,1784148875450,15/07/2026 20:54:35,1784148875368,-5,15/07/2026 15:54:35,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,6,human,13,3385,,,2,3,62,60,5,
280,1784148876161,15/07/2026 20:54:36,1784148876073,-5,15/07/2026 15:54:36,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,6,agent,17,2928,,1,2,3,62,60,5,
281,1784148878822,15/07/2026 20:54:38,1784148878735,-5,15/07/2026 15:54:38,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,7,human,9,3729,,,2,3,62,60,5,
282,1784148879529,15/07/2026 20:54:39,1784148879440,-5,15/07/2026 15:54:39,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,7,agent,14,1314,,,2,3,62,60,5,
283,1784148880970,15/07/2026 20:54:40,1784148880885,-5,15/07/2026 15:54:40,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,8,human,19,6539,,,2,3,62,60,5,
284,1784148881688,15/07/2026 20:54:41,1784148881590,-5,15/07/2026 15:54:41,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,8,agent,15,3933,,,2,3,62,60,5,
285,1784148884617,15/07/2026 20:54:44,1784148884535,-5,15/07/2026 15:54:44,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,9,human,10,3763,1,,3,3,63,60,4,
286,1784148885347,15/07/2026 20:54:45,1784148885240,-5,15/07/2026 15:54:45,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,9,agent,4,5156,1,,3,4,63,61,3,
287,1784148947082,15/07/2026 20:55:47,1784148946917,-5,15/07/2026 15:55:46,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,14,"High contrast, type 4",rules_contrast2.json,14,10,human,6,2948,1,,4,4,64,61,2,
288,1784148947790,15/07/2026 20:55:47,1784148947620,-5,15/07/2026 15:55:47,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,14,"High contrast, type 4",rules_contrast2.json,14,10,agent,0,3524,,1,4,4,64,61,2,
289,1784148947967,15/07/2026 20:55:47,1784148947623,-5,15/07/2026 15:55:47,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,episode_end,move_limit,14,"High contrast, type 4",rules_contrast2.json,14,10,,,,,,4,4,64,61,2,
290,1784148981116,15/07/2026 20:56:21,1784148981034,-5,15/07/2026 15:56:21,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,1,human,5,835,1,,1,0,65,61,9,
291,1784148981818,15/07/2026 20:56:21,1784148981738,-5,15/07/2026 15:56:21,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,1,agent,3,3835,1,,1,1,65,62,8,
292,1784148997210,15/07/2026 20:56:37,1784148997118,-5,15/07/2026 15:56:37,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,2,human,17,3385,,,1,1,65,62,8,
293,1784148997908,15/07/2026 20:56:37,1784148997823,-5,15/07/2026 15:56:37,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,2,agent,8,485,,,1,1,65,62,8,
294,1784149002669,15/07/2026 20:56:42,1784149000884,-5,15/07/2026 15:56:40,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,3,human,16,93,,,1,1,65,62,8,
295,1784149002802,15/07/2026 20:56:42,1784149001587,-5,15/07/2026 15:56:41,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,3,agent,3,3835,,1,1,1,65,62,8,
296,1784149002802,15/07/2026 20:56:42,1784149002568,-5,15/07/2026 15:56:42,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,4,human,12,894,1,,2,1,66,62,7,
297,1784149003369,15/07/2026 20:56:43,1784149003271,-5,15/07/2026 15:56:43,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,4,agent,19,6539,,,2,1,66,62,7,
298,1784149007375,15/07/2026 20:56:47,1784149007301,-5,15/07/2026 15:56:47,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,5,human,13,3372,1,,3,1,67,62,6,
299,1784149008103,15/07/2026 20:56:48,1784149008005,-5,15/07/2026 15:56:48,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,5,agent,5,835,,1,3,1,67,62,6,
300,1784149013216,15/07/2026 20:56:53,1784149013135,-5,15/07/2026 15:56:53,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,6,human,15,398,1,,4,1,68,62,5,
301,1784149013928,15/07/2026 20:56:53,1784149013840,-5,15/07/2026 15:56:53,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,6,agent,9,4405,1,,4,2,68,63,4,
302,1784149031906,15/07/2026 20:57:11,1784149031817,-5,15/07/2026 15:57:11,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,7,human,2,3729,,,4,2,68,63,4,
303,1784149032614,15/07/2026 20:57:12,1784149032522,-5,15/07/2026 15:57:12,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,7,agent,17,3385,,1,4,2,68,63,4,
304,1784149033456,15/07/2026 20:57:13,1784149033384,-5,15/07/2026 15:57:13,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,7,human,3,3835,,1,4,2,68,63,4,
305,1784149034172,15/07/2026 20:57:14,1784149034086,-5,15/07/2026 15:57:14,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,7,agent,1,3139,1,,4,3,68,64,3,
306,1784149040650,15/07/2026 20:57:20,1784149038318,-5,15/07/2026 15:57:18,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,8,human,7,3088,1,,5,3,69,64,2,
307,1784149040852,15/07/2026 20:57:20,1784149039023,-5,15/07/2026 15:57:19,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,8,agent,9,4405,,1,5,3,69,64,2,
308,1784149041930,15/07/2026 20:57:21,1784149041835,-5,15/07/2026 15:57:21,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,15,"High contrast, type 2",rules_contrast2.json,15,8,human,8,485,,1,5,3,69,64,2,
309,1784149042679,15/07/2026 20:57:22,1784149042539,-5,15/07/2026 15:57:22,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,15,"High contrast, type 2",rules_contrast2.json,15,8,agent,11,2020,,,5,3,69,64,2,
310,1784149042815,15/07/2026 20:57:22,1784149042543,-5,15/07/2026 15:57:22,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,episode_end,move_limit,15,"High contrast, type 2",rules_contrast2.json,15,8,,,,,,5,3,69,64,2,
311,1784149053024,15/07/2026 20:57:33,1784149052935,-5,15/07/2026 15:57:32,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,1,human,0,372,,,0,0,69,64,10,
312,1784149053727,15/07/2026 20:57:33,1784149053641,-5,15/07/2026 15:57:33,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,1,agent,14,5156,1,,0,1,69,65,9,
313,1784149060965,15/07/2026 20:57:40,1784149060875,-5,15/07/2026 15:57:40,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,2,human,2,2928,1,,1,1,70,65,8,
314,1784149061666,15/07/2026 20:57:41,1784149061580,-5,15/07/2026 15:57:41,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,2,agent,11,2103,1,,1,2,70,66,7,
315,1784149102132,15/07/2026 20:58:22,1784149102051,-5,15/07/2026 15:58:22,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,3,human,3,4053,1,,2,2,71,66,6,
316,1784149102857,15/07/2026 20:58:22,1784149102754,-5,15/07/2026 15:58:22,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,3,agent,14,5156,,1,2,2,71,66,6,
317,1784149104355,15/07/2026 20:58:24,1784149104265,-5,15/07/2026 15:58:24,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,4,human,4,5531,1,,3,2,72,66,5,
318,1784149105044,15/07/2026 20:58:25,1784149104968,-5,15/07/2026 15:58:24,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,4,agent,11,2103,,1,3,2,72,66,5,
319,1784149106571,15/07/2026 20:58:26,1784149106484,-5,15/07/2026 15:58:26,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,5,human,5,4990,1,,4,2,73,66,4,
320,1784149107268,15/07/2026 20:58:27,1784149107190,-5,15/07/2026 15:58:27,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,5,agent,6,6480,,,4,2,73,66,4,
321,1784149108808,15/07/2026 20:58:28,1784149108718,-5,15/07/2026 15:58:28,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,6,human,10,394,,,4,2,73,66,4,
322,1784149109506,15/07/2026 20:58:29,1784149109422,-5,15/07/2026 15:58:29,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,6,agent,14,5156,,1,4,2,73,66,4,
323,1784149110908,15/07/2026 20:58:30,1784149110816,-5,15/07/2026 15:58:30,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,7,human,12,1328,,,4,2,73,66,4,
324,1784149111611,15/07/2026 20:58:31,1784149111520,-5,15/07/2026 15:58:31,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,7,agent,7,5912,,,4,2,73,66,4,
325,1784149112649,15/07/2026 20:58:32,1784149112518,-5,15/07/2026 15:58:32,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,8,human,13,1191,,,4,2,73,66,4,
326,1784149113334,15/07/2026 20:58:33,1784149113221,-5,15/07/2026 15:58:33,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,8,agent,11,2103,,1,4,2,73,66,4,
327,1784149114010,15/07/2026 20:58:34,1784149113918,-5,15/07/2026 15:58:33,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,9,human,17,3886,1,,5,2,74,66,3,
328,1784149114715,15/07/2026 20:58:34,1784149114622,-5,15/07/2026 15:58:34,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,9,agent,16,2948,1,,5,3,74,67,2,
329,1784149120424,15/07/2026 20:58:40,1784149120335,-5,15/07/2026 15:58:40,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,human_move,,16,"High contrast, type 1",rules_contrast2.json,16,10,human,15,3763,1,,6,3,75,67,1,
330,1784149121120,15/07/2026 20:58:41,1784149121040,-5,15/07/2026 15:58:41,276195,7,task-qwcj,,57236681,,16361496,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 149.0.0.0,1440x900,1440x778,,,,Forage_Agent_Practice,1,Complied,1334df69-9024-49d3-912a-9d8200b58d97,agent_move,,16,"High contrast, type 1",rules_contrast2.json,16,10,agent,18,3524,1,,6,4,75,68,0,
